Trial_625_x,Trial_625_y,Trial_625_x.1,Trial_625_y.1,Trial_850_x,Trial_850_y,Trial_1371_x,Trial_1371_y,Trial_1482_x,Trial_1482_y,Trial_1605_x,Trial_1605_y,Trial_2161_x,Trial_2161_y,Trial_1178_x,Trial_1178_y,Trial_1217_x,Trial_1217_y,Trial_1664_x,Trial_1664_y,Trial_733_x,Trial_733_y,Trial_1215_x,Trial_1215_y,Trial_1399_x,Trial_1399_y
0,439,0,439,0,3237,0,1546,0,1728,12.73333333,884,0,1346,0,1932,0,1687,0,1847,0,2173,0,2100,0,3834
0.033333333,1638,0.033333333,1638,0.033333333,2651,0.033333333,1609,0.033333333,1790,12.76666667,779,0.033333333,2592,0.033333333,1917,0.033333333,1733,0.033333333,1808,0.033333333,2312,0.033333333,2011,0.033333333,2662
0.066666667,2837,0.066666667,2837,0.066666667,2462,0.066666667,1663,0.066666667,1850,12.8,704,0.066666667,2438,0.066666667,1903,0.066666667,1783,0.066666667,1772,0.066666667,2461,0.066666667,1924,0.066666667,2033
0.1,2828,0.1,2828,0.1,2476,0.1,1729,0.1,1923,12.83333333,644,0.1,2411,0.1,1889,0.1,1828,0.1,1737,0.1,2616,0.1,1836,0.1,1663
0.133333333,2072,0.133333333,2072,0.133333333,2490,0.133333333,1795,0.133333333,1988,12.86666667,584,0.133333333,2384,0.133333333,1874,0.133333333,1878,0.133333333,1707,0.133333333,2779,0.133333333,1753,0.133333333,1433
0.166666667,1795,0.166666667,1795,0.166666667,2654,0.166666667,1861,0.166666667,2056,12.9,559,0.166666667,2473,0.166666667,1861,0.166666667,1924,0.166666667,1676,0.166666667,2927,0.166666667,1673,0.166666667,1280
0.2,1738,0.2,1738,0.2,2837,0.2,1931,0.2,2113,12.93333333,567,0.2,2562,0.2,1847,0.2,1971,0.2,1652,0.2,3071,0.2,1596,0.2,1152
0.233333333,1809,0.233333333,1809,0.233333333,3004,0.233333333,1996,0.233333333,2174,12.96666667,624,0.233333333,2636,0.233333333,1836,0.233333333,2019,0.233333333,1635,0.233333333,3192,0.233333333,1521,0.233333333,1068
0.266666667,1939,0.266666667,1939,0.266666667,3141,0.266666667,2059,0.266666667,2227,13,689,0.266666667,2704,0.266666667,1824,0.266666667,2066,0.266666667,1618,0.266666667,3285,0.266666667,1452,0.266666667,1001
0.3,2093,0.3,2093,0.3,3313,0.3,2124,0.3,2275,13.03333333,760,0.3,2761,0.3,1813,0.3,2108,0.3,1608,0.3,3366,0.3,1393,0.3,951
0.333333333,2248,0.333333333,2248,0.333333333,3452,0.333333333,2181,0.333333333,2322,13.06666667,852,0.333333333,2818,0.333333333,1807,0.333333333,2150,0.333333333,1602,0.333333333,3448,0.333333333,1340,0.333333333,901
0.366666667,2423,0.366666667,2423,0.366666667,3572,0.366666667,2239,0.366666667,2370,13.1,970,0.366666667,2844,0.366666667,1799,0.366666667,2180,0.366666667,1597,0.366666667,3468,0.366666667,1296,0.366666667,885
0.4,2608,0.4,2608,0.4,3659,0.4,2290,0.4,2396,13.13333333,1090,0.4,2860,0.4,1794,0.4,2218,0.4,1605,0.4,3465,0.4,1253,0.4,906
0.433333333,2781,0.433333333,2781,0.433333333,3746,0.433333333,2331,0.433333333,2422,13.16666667,1216,0.433333333,2846,0.433333333,1791,0.433333333,2242,0.433333333,1613,0.433333333,3437,0.433333333,1228,0.433333333,933
0.466666667,2951,0.466666667,2951,0.466666667,3771,0.466666667,2372,0.466666667,2434,13.2,1368,0.466666667,2826,0.466666667,1789,0.466666667,2261,0.466666667,1626,0.466666667,3361,0.466666667,1215,0.466666667,956
0.5,3098,0.5,3098,0.5,3721,0.5,2399,0.5,2443,13.23333333,1498,0.5,2777,0.5,1792,0.5,2280,0.5,1645,0.5,3267,0.5,1216,0.5,1023
0.533333333,3259,0.533333333,3259,0.533333333,3646,0.533333333,2427,0.533333333,2432,13.26666667,1648,0.533333333,2719,0.533333333,1795,0.533333333,2290,0.533333333,1667,0.533333333,3149,0.533333333,1226,0.533333333,1088
0.566666667,3389,0.566666667,3389,0.566666667,3539,0.566666667,2437,0.566666667,2425,13.3,1787,0.566666667,2653,0.566666667,1799,0.566666667,2290,0.566666667,1694,0.566666667,3027,0.566666667,1244,0.566666667,1178
0.6,3493,0.6,3493,0.6,3433,0.6,2447,0.6,2404,13.33333333,1930,0.6,2583,0.6,1804,0.6,2290,0.6,1718,0.6,2887,0.6,1279,0.6,1264
0.633333333,3568,0.633333333,3568,0.633333333,3281,0.633333333,2437,0.633333333,2377,13.36666667,2659,0.633333333,2505,0.633333333,1812,0.633333333,2279,0.633333333,1752,0.633333333,2749,0.633333333,1321,0.633333333,1361
0.666666667,3625,0.666666667,3625,0.666666667,3109,0.666666667,2426,0.666666667,2338,13.4,3095,0.666666667,2405,0.666666667,1820,0.666666667,2261,0.666666667,1788,0.666666667,2601,0.666666667,1367,0.666666667,1473
0.7,3630,0.7,3630,0.7,2939,0.7,2403,0.7,2296,13.43333333,2797,0.7,2306,0.7,1831,0.7,2242,0.7,1825,0.7,2429,0.7,1432,0.7,1584
0.733333333,3635,0.733333333,3635,0.733333333,2776,0.733333333,2379,0.733333333,2251,13.46666667,2711,0.733333333,2195,0.733333333,1843,0.733333333,2218,0.733333333,1860,0.733333333,1226,0.733333333,1496,0.733333333,1705
